title,learn_type,description,delivery_method,instruction_type,content,what_will_learn,target_students,instructor|1|name,instructor|1|designation,instructor|1|instructor_image,instructor|2|name,instructor|2|designation,instructor|2|instructor_image,review|1|reviewer_name,review|1|review,total_duration,total_duration_unit,recommended_effort_per_week,batch|1|batch_start_date,enrollment_end_date,languages,short_description,accessibilities,pricing_type,currency,regular_price,additional_pricing_details,institute,partner_course_url
Public Management and Governance,Course,"[<p><p><strong>Duration:</strong> 8 weeks (excluding orientation)<br/></p><p>The University of Cape Town (UCT) Public Management and Governance online short course is practically focused, addressing the need for ethics training while still teaching you the theory and skills essential to impactful government service. On this course, you’ll learn to lead teams and effectively manage situations unique to the context of the public sector. Develop your policy and evaluation expertise, explore real-world case studies and practical applications, while networking with a cohort of peers. </p><p>Under the guidance of a leading public management expert, and with personalised support, you’ll improve your ability to influence others towards positive change. Meet the increasing demand for well-qualified, public-oriented officials who can manage service delivery ethically and earn the university certificate you need to compete for a management or leadership role in the public sector, and contribute to a healthier administration that best serves the country.</p></p>, <p><strong>Duration:</strong> 8 weeks (excluding orientation)<br/></p>, <p>The University of Cape Town (UCT) Public Management and Governance online short course is practically focused, addressing the need for ethics training while still teaching you the theory and skills essential to impactful government service. On this course, you’ll learn to lead teams and effectively manage situations unique to the context of the public sector. Develop your policy and evaluation expertise, explore real-world case studies and practical applications, while networking with a cohort of peers. </p>, <p>Under the guidance of a leading public management expert, and with personalised support, you’ll improve your ability to influence others towards positive change. Meet the increasing demand for well-qualified, public-oriented officials who can manage service delivery ethically and earn the university certificate you need to compete for a management or leadership role in the public sector, and contribute to a healthier administration that best serves the country.</p>]",Online,Self Paced,"[<div class=""module-content""><p class=""heading font-h6-mobile"">Orientation module</p><p class=""font-p-default"">Welcome to your Online Campus</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 1</p><p class=""font-p-default"">Introduction to public management</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 2</p><p class=""font-p-default"">The political-administrative relationship</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 3</p><p class=""font-p-default"">Public finance management</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 4</p><p class=""font-p-default"">Policy management</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 5</p><p class=""font-p-default"">Policy monitoring and evaluation</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 6</p><p class=""font-p-default"">Organisational behaviour and human resource management</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 7</p><p class=""font-p-default"">Decentralised service management in local government</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 8</p><p class=""font-p-default"">Ethics and governance</p></div>]","['An understanding of the complexities surrounding the interrelationship between politics and administration in public management|', 'Key insights into governance in order to assess the relationship between ethical, values-based leadership, and public management actions|', 'The ability to analyse decentralised service delivery, human resource management, and policy|', 'A certificate from Africa’s leading university as proof of your commitment to advancement in the public sector|', '']","This course is aimed at busy senior government professionals looking to improve their performance in their current leadership role, or those working towards their next promotion by adding to their capabilities| It’s particularly valuable if you want to develop expertise in human resource, policy, and decentralised service management, or are aiming to advance into a management position| The course will also benefit private sector professionals with business ties to government or the public sector looking to refocus their service to deliver what the public really requires|
",Robert Cameron,"Professor of Public Administration in the Department of Political Studies, University of Cape Town",https://www.getsmarter.com/rails/active_storage/representations/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUFEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4ba6b5555c039ecac74acf00ae668fb7489c8d46/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCam9MY21WemFYcGxTU0lNTVRFd2VERXhNQVk2QmtWVSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--e8e4d52386516ed9566f111cb5206b7b0185063d/university_of_cape_town_public_management_and_governance_course_convenor_robert_cameron.jpg,Dr Daniel Berliner,"Associate Professor of Political Science and Public Policy, LSE Department of Government",https://www.getsmarter.com/rails/active_storage/representations/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc29FIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d0ed35fce1127244916b54be4a868d84526b9eea/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCam9MY21WemFYcGxTU0lNTVRFd2VERXhNQVk2QmtWVSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--e8e4d52386516ed9566f111cb5206b7b0185063d/lse_public_policy_analysis_course_convenor_daniel_berliner.jpg,Lusani Mulaudzi,"This was a very useful course for me. I wanted to immerse myself in the world of public administration so that I could learn the language of government. The course is well structured, and I was able to complete every module in the allocated time. I enjoyed doing the course and learning. I like the good balance in the types of activities provided as part of the course. The discussion posts from fellow students were very interesting, and I learnt lots from them. I highly recommend this course – even for board members serving in government agencies.",8,weeks,7–10 ,2021-09-27T00:00:00,2021-09-21T00:00:00,English,"Address the values, ethics, and competencies related to public administration in developing countries.","Mobile,Desktop,Tablet",Paid,USD,763,"You can pay your course fees before the course starts, or you may opt for a split payment plan on courses that are nine weeks and shorter. For courses 10 weeks and longer, there is a three-part payment plan available.",University of Cape Town,https://www.getsmarter.com/products/uct-public-management-and-governance-online-short-course
Public Policy Analysis,Course,"[<p><p><strong>Duration:</strong> 10 weeks (excluding orientation)<br/></p><p>In the context of an increasingly connected and complex world, it is vital to be able to analyse and anticipate the impact of public policy and evaluate interventions to make more informed, evidence-based policy decisions and recommendations.</p><p>The Public Policy Analysis online certificate course from the London School of Economics and Political Science (LSE) merges research, theory, and practice, as it empowers participants with analytical frameworks for understanding the policy process. Over the course of 10 weeks, you’ll gain the quantitative tools and techniques needed to conduct evidence-based impact evaluations and develop effective policy communication skills.</p><p>Benefit from this multidisciplinary approach to public policy and practice your skills by engaging with real-world, global case studies. Guided by expert LSE faculty with topical research experience across a variety of policy areas in Europe, Africa, and the United States, you’ll develop practical skills and strategies for immediate application in policy-related projects, or within your organisation.</p></p>, <p><strong>Duration:</strong> 10 weeks (excluding orientation)<br/></p>, <p>In the context of an increasingly connected and complex world, it is vital to be able to analyse and anticipate the impact of public policy and evaluate interventions to make more informed, evidence-based policy decisions and recommendations.</p>, <p>The Public Policy Analysis online certificate course from the London School of Economics and Political Science (LSE) merges research, theory, and practice, as it empowers participants with analytical frameworks for understanding the policy process. Over the course of 10 weeks, you’ll gain the quantitative tools and techniques needed to conduct evidence-based impact evaluations and develop effective policy communication skills.</p>, <p>Benefit from this multidisciplinary approach to public policy and practice your skills by engaging with real-world, global case studies. Guided by expert LSE faculty with topical research experience across a variety of policy areas in Europe, Africa, and the United States, you’ll develop practical skills and strategies for immediate application in policy-related projects, or within your organisation.</p>]",Online,Self Paced,"[<div class=""module-content""><p class=""heading font-h6-mobile"">Orientation Module</p><p class=""font-p-default"">Welcome to your Online Campus</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 1</p><p class=""font-p-default"">The importance and goals of public policy</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 2</p><p class=""font-p-default"">Individuals and strategic interactions</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 3</p><p class=""font-p-default"">Institutions and public policy</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 4</p><p class=""font-p-default"">Quantitative skills for public policy</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 5</p><p class=""font-p-default"">Policy evaluation</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 6</p><p class=""font-p-default"">Policy communication</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 7</p><p class=""font-p-default"">Public policy processes</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 8</p><p class=""font-p-default"">Representation, accountability, and public policy</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 9</p><p class=""font-p-default"">The politics of public policy</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 10</p><p class=""font-p-default"">Challenges for public policy</p></div>]","['Practical skills and techniques that can be immediately applied to a policy-related project, or within your business|', 'The ability to meaningfully engage with public policy principles, processes, challenges, and interventions using analytical frameworks|', 'The confidence to perform evidence-based policy impact evaluations and make better, more informed decisions|', 'The tools to make persuasive recommendations to policy stakeholders or a policy organisation|', '']","This course, developed by LSE’s School of Public Policy, is relevant for professionals working in public policy| Policy makers, civil servants, NGO staff, and individuals in public and private sector organisations seeking to influence public policy and better understand their current roles within policy formulation will find it beneficial| Those in the public sector, non-profit, consultancies, and think tanks – who want to enhance their impact by critically engaging with public policy, employing evidence-based impact evaluations, and developing the insight to make policy recommendations and decisions – will also benefit from this course|This Public Policy Analysis online certificate course is certified by the United Kingdom CPD Certification Service, and may be applicable to individuals who are members of, or are associated with, UK-based professional bodies| The course has an estimated 80 hours of learning|Note: should you wish to claim CPD activity, the onus is upon you| The London School of Economics and Political Science (LSE) and GetSmarter accept no responsibility, and cannot be held responsible, for the claiming or validation of hours or points|",Dr Ryan Jablonski,"Assistant Professor in Political Science, LSE Department of Government",https://www.getsmarter.com/rails/active_storage/representations/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc2tFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--59251df40c3b85e1f10f2d494de67f307764318c/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCam9MY21WemFYcGxTU0lNTVRFd2VERXhNQVk2QmtWVSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--e8e4d52386516ed9566f111cb5206b7b0185063d/lse_public_policy_analysis_course_convenor_ryan_jablonski.jpg,,,,Jeannette Gusko,"I learned the most relevant theories and applicable concepts in the Public Policy Analysis course. The materials were concise to work with and the assignments helped me apply the new knowledge to real-world policy cases. My understanding of the topic deepened and I feel confident to take the next step in my policy career. On top of all that, the learning community – the people I met during the course – was positive, motivating and I learned lots from them graciously sharing their world views and professional backgrounds.",10,weeks,7–10 ,2021-11-03T00:00:00,2021-10-26T00:00:00,English,"Gain analytical frameworks and practical skills for analysing, evaluating, and communicating public policy.","Mobile,Desktop,Tablet",Paid,USD,"3,014","You can pay your course fees before the course starts, or you may opt for a split payment plan on courses that are nine weeks and shorter. For courses 10 weeks and longer, there is a three-part payment plan available.",The London School of Economics and Political Science,https://www.getsmarter.com/products/lse-public-policy-analysis-online-certificate-course
"Business, International Relations and the Political Economy",Course,"[<p><p><strong>Duration:</strong> 8 weeks (excluding orientation)<br/></p><p>In a world defined by globalisation, a rising populist sentiment, and sociopolitical uncertainty – a profound understanding of the global economy is increasingly important for any organisation to identify business opportunities and mitigate risks. </p><p>This online certificate course explores the various drivers of global change and the key events that have shaped the evolution of globalisation. You’ll analyse global power shifts, foreign policy, conflict and instability, and the disruptive forces that have influenced the world economy. You’ll learn to identify and maximise business opportunities, while navigating the challenges associated with globalisation. You’ll not only cut to the core of international affairs, you’ll learn to interpret and plan for such changes and use them for your business advantage.</p></p>, <p><strong>Duration:</strong> 8 weeks (excluding orientation)<br/></p>, <p>In a world defined by globalisation, a rising populist sentiment, and sociopolitical uncertainty – a profound understanding of the global economy is increasingly important for any organisation to identify business opportunities and mitigate risks. </p>, <p>This online certificate course explores the various drivers of global change and the key events that have shaped the evolution of globalisation. You’ll analyse global power shifts, foreign policy, conflict and instability, and the disruptive forces that have influenced the world economy. You’ll learn to identify and maximise business opportunities, while navigating the challenges associated with globalisation. You’ll not only cut to the core of international affairs, you’ll learn to interpret and plan for such changes and use them for your business advantage.</p>]",Online,Self Paced,"[<div class=""module-content""><p class=""heading font-h6-mobile"">Orientation Module</p><p class=""font-p-default"">Welcome to Your Online Campus</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 1</p><p class=""font-p-default"">The evolution of globalisation</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 2</p><p class=""font-p-default"">Business, production, and investment in the global economy</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 3</p><p class=""font-p-default"">Global power shifts</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 4</p><p class=""font-p-default"">Governing the global economy</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 5</p><p class=""font-p-default"">Contesting globalisation</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 6</p><p class=""font-p-default"">Conflict and instability</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 7</p><p class=""font-p-default"">Responding to disruptive forces</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 8</p><p class=""font-p-default"">Corporate responses to a changing global environment</p></div>]","['Practical problem-solving techniques used by internationally respected LSE academics, to adapt and prepare your business strategy for the effects of global change|', 'The ability to critically analyse global events from different perspectives in order to make strategic decisions|', 'The skills to use your newfound understanding of globalisation to propose an investment strategy for an organisation that wants to expand internationally|', '', '']","This course is designed to provide CEOs, managers, C-suite executives, finance and investment professionals, entrepreneurs, advisors, and policy makers with the tools to analyse and interpret the effects of global events on their organisations| Additionally, this course appeals to anyone involved in international business or trade who needs to think strategically about the impact of global events on trade and strategies| It’s also valuable for anyone with a keen interest in current international relations, foreign policy, and the global economy|This course is certified by the United Kingdom CPD Certification Service, and may be applicable to individuals who are members of, or are associated with, UK-based professional bodies| The course has an estimated 80 hours of learning|Note: should you wish to claim CPD activity, the onus is upon you| The London School of Economics and Political Science (LSE) and GetSmarter accept no responsibility, and cannot be held responsible, for the claiming or validation of hours or points",Dr Robert Falkner,"Associate Professor of International Relations, LSE",https://www.getsmarter.com/rails/active_storage/representations/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc3dIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--58db64ca1c9fc229b8225159ba11219f32c94351/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCam9MY21WemFYcGxTU0lNTVRFd2VERXhNQVk2QmtWVSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--e8e4d52386516ed9566f111cb5206b7b0185063d/lse_technological_disruption_managing_the_impact_on_business_society_and_politics_course_convenor_robert_falkner.png,,,,Celine Bacrot,"Excellent course! I have learned a lot about what’s driving the word in terms of business opportunities, the challenges of globalisation and the rise of populism. The theories and intellectual background in the political economy and international relations presented on the course will definitely help me in my work.",8,weeks,7–10  ,2021-10-13T00:00:00,2021-10-05T00:00:00,English,Navigate the challenges of globalisation and harness the business potential within a global economy.,"Mobile,Desktop,Tablet",Paid,USD,"2,877","You can pay your course fees before the course starts, or you may opt for a split payment plan on courses that are nine weeks and shorter. For courses 10 weeks and longer, there is a three-part payment plan available.",The London School of Economics and Political Science,https://www.getsmarter.com/products/lse-business-international-relations-and-the-political-economy-online-certificate-course
"The New Global Order: How Politics, Business and Technology are Changing",Course,"[<p><p><strong>Duration</strong>: 6 weeks (excluding orientation)<br/></p><p>A shift within international politics is under way as the rivalry between the United States and China intensifies. Alongside this contest, the state of the climate, migration levels and ageing populations are all of concern to world leaders.
</p><p><strong>The New Global Order: How Politics, Business and Technology are Changing</strong> is an online short course from The Economist. It is designed to equip you with a unique blend of conceptual and practical understanding of global politics and its impact. This six-week course takes you on a journey through the main players in power, their political strategies, economic goals and relationships, crucial events, the role of technology and the sweep of global trends throughout. You’ll gain a better understanding of how your organisation may be affected and how you should respond to emerging shifts.</p><p><em>Enjoy a free three-month digital subscription with this executive education course from The Economist. Read articles on Economist.com, listen to the weekly edition, watch videos, browse newsletters, immerse yourself in our podcasts and app, or join us at exclusive events.</em></p></p>, <p><strong>Duration</strong>: 6 weeks (excluding orientation)<br/></p>, <p>A shift within international politics is under way as the rivalry between the United States and China intensifies. Alongside this contest, the state of the climate, migration levels and ageing populations are all of concern to world leaders.
</p>, <p><strong>The New Global Order: How Politics, Business and Technology are Changing</strong> is an online short course from The Economist. It is designed to equip you with a unique blend of conceptual and practical understanding of global politics and its impact. This six-week course takes you on a journey through the main players in power, their political strategies, economic goals and relationships, crucial events, the role of technology and the sweep of global trends throughout. You’ll gain a better understanding of how your organisation may be affected and how you should respond to emerging shifts.</p>, <p><em>Enjoy a free three-month digital subscription with this executive education course from The Economist. Read articles on Economist.com, listen to the weekly edition, watch videos, browse newsletters, immerse yourself in our podcasts and app, or join us at exclusive events.</em></p>]",Online,Self Paced,"[<div class=""module-content""><p class=""heading font-h6-mobile"">Orientation module</p><p class=""font-p-default"">Welcome to your Online Campus</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 1</p><p class=""font-p-default"">From cold war to US-China rivalry</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 2</p><p class=""font-p-default"">The decline of US dominance</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 3</p><p class=""font-p-default"">The Chinese century</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 4</p><p class=""font-p-default"">The role of technology</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 5</p><p class=""font-p-default"">Disruptors, inbetweeners and game-changers</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 6</p><p class=""font-p-default"">Goodbye globalisation?</p></div>]","['The knowledge of how shifting global power dynamics could affect your organisation and region|', 'An understanding of what the rise of Chinese power and the decline of US dominance may mean for your industry|', 'Insight into how different countries, technology and global challenges will impact your organisation’s future competitive strategy|', '', '']","This course is created to provide leaders in business and politics with knowledge of the main themes that influence globalisation, international trade, security and power dynamics| Additionally, it will equip those in charge of directing their organisation’s response to global events with the tools to plan effectively for change, and confidently discuss these themes with stakeholders both inside and outside their organisations|This course is certified by the United Kingdom CPD Certification Service, and may be applicable to individuals who are members of, or are associated with, UK-based professional bodies| The course has an estimated 50 hours of learning| Note: should students wish to claim CPD activity, the onus is upon them| The Economist and GetSmarter accept no responsibility, and cannot be held responsible, for the claiming or validation of hours or points|",John Parker,"International correspondent, The Economist
",https://www.getsmarter.com/rails/active_storage/representations/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZzBMIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7418fba5b0bc05e157ab7c7f47ff170c00b7d579/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCam9MY21WemFYcGxTU0lNTVRFd2VERXhNQVk2QmtWVSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--e8e4d52386516ed9566f111cb5206b7b0185063d/the_economist_executive_education_international_relations_online_short_course_course_convenor_john_parker%20(1).jpg,,,,Howard William Humphey,“This was an outstanding course that enhanced my understanding of the importance of nonmarket analysis and planning to achieve corporate goals and objectives.”,6,weeks,6–8 ,2021-10-27T00:00:00,2021-10-19T00:00:00,English,Gain exclusive global perspective with specialists at The Economist.,"Mobile,Desktop,Tablet",Paid,USD,"2,021","You can pay your course fees before the course starts, or you may opt for a split payment plan on courses that are nine weeks and shorter. For courses 10 weeks and longer, there is a three-part payment plan available.",The Economist,https://www.getsmarter.com/products/the-economist-the-new-global-order-how-politics-business-and-technology-are-changing-online-short-course
Leadership for Global Business and Politics,Course,"[<p><p><strong>Duration</strong>: 8 weeks (excluding orientation)</p><p>Organizations operate within the context of their competitors, suppliers, and customers, but also within a broader nonmarket environment that includes social, political, environmental, and regulatory forces.</p><p>The Leadership for Global Business and Politics online program, from the Yale School of Management Executive Education, offers business leaders an evolved perspective of nonmarket factors that affect business. It provides strategies, language, frameworks, and tools to analyze and respond to these factors to gain a competitive advantage. </p><p>Guided by industry expert David Bach, you’ll develop the skills and knowledge to drive strategies that anticipate and plan for change and disruption. Explore the move toward stakeholder capitalism, how it relates to your organization, and how it can be leveraged for a sustainable, strategic edge. You’ll also gain the opportunity to engage with a diverse and international group of participants, and grow your global network online.</p></p>, <p><strong>Duration</strong>: 8 weeks (excluding orientation)</p>, <p>Organizations operate within the context of their competitors, suppliers, and customers, but also within a broader nonmarket environment that includes social, political, environmental, and regulatory forces.</p>, <p>The Leadership for Global Business and Politics online program, from the Yale School of Management Executive Education, offers business leaders an evolved perspective of nonmarket factors that affect business. It provides strategies, language, frameworks, and tools to analyze and respond to these factors to gain a competitive advantage. </p>, <p>Guided by industry expert David Bach, you’ll develop the skills and knowledge to drive strategies that anticipate and plan for change and disruption. Explore the move toward stakeholder capitalism, how it relates to your organization, and how it can be leveraged for a sustainable, strategic edge. You’ll also gain the opportunity to engage with a diverse and international group of participants, and grow your global network online.</p>]",Online,Self Paced,"[<div class=""module-content""><p class=""heading font-h6-mobile"">Orientation Module</p><p class=""font-p-default"">Welcome to your Online Campus</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 1</p><p class=""font-p-default"">Compete beyond the market</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 2</p><p class=""font-p-default"">Analyze nonmarket challenges for strategic advantage</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 3</p><p class=""font-p-default"">Navigate the politics of disruptive innovation</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 4</p><p class=""font-p-default"">Nationalism in international business</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 5</p><p class=""font-p-default"">Lobbying and framing in a global context</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 6</p><p class=""font-p-default"">Stakeholder engagement and global governance</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 7</p><p class=""font-p-default"">Ethics, values, and business decisions</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 8</p><p class=""font-p-default"">Doing well by doing good</p></div>]","['The ability to see beyond business and the market, with an enhanced understanding of stakeholder capitalism and the global social, political, and environmental landscape|', 'Insights and tools to lead effectively through the pressures of future disruption|', 'The skills to assess and improve engagement with key stakeholders internally and externally, and how differing global contexts influence these interactions|', 'Strategic frameworks to affect and redefine your nonmarket environment, and factor these forces into your decision-making to strengthen your competitive advantage|', '']","This online program will equip you with transnational leadership practices and the skills to assess the global and political economy| Led by experts on international affairs, you’ll learn how multinational organizations can balance the effects of globalization and maintain sound international relations| This program is designed for those working in strategy, communications, government affairs, corporate responsibility, business development, and leading industries, who need to be cognizant of topical social, political, and environmental issues| Executives who need to consider the impact of political and social issues on their business will be equipped with the terminology and a best practice approach to leadership in a rapidly changing corporate and societal landscape| Functional managers who are interested in pursuing a greater involvement in business strategy will benefit from access to frameworks and tools that will allow them to engage effectively with the impact of nonmarket forces on their organization, while managing stakeholder engagement in a global context|",David Bach,"Dean of Innovation and Programs, IMD Business School; Former Deputy Dean for Executive Programs and Professor in the Practice of Management, Yale School of Management Executive Education",https://www.getsmarter.com/rails/active_storage/representations/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBamdGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--591d696452c24e6e5f81b5c62e1bc928d91d1e0e/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCam9MY21WemFYcGxTU0lNTVRFd2VERXhNQVk2QmtWVSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--e8e4d52386516ed9566f111cb5206b7b0185063d/yale_school_of_management_executive_education_global_business_and_politics_course_convenor_david_bach.jpg,,,,,,8,weeks,8–10 ,2021-10-06T00:00:00,2021-09-28T00:00:00,English,"Develop the knowledge and skills for effective leadership in a changing social, political, and environmental context.","Mobile,Desktop,Tablet",Paid,USD,"2,200","You can pay your course fees before the course starts, or you may opt for a split payment plan on courses that are nine weeks and shorter. For courses 10 weeks and longer, there is a three-part payment plan available.",Yale School of Management Executive Education,https://www.getsmarter.com/products/yale-som-executive-education-global-business-and-politics-online-program
Economics for Business,Course,"[<p><p><strong>Duration</strong>: 8 weeks (excluding orientation)<br/></p><p>Large-scale economic trends can profoundly affect businesses of all sizes, whether it’s inflation, governmental policy, or changes in market demand. For contemporary organizations to remain competitive, executives must account for the impact in their strategic decision making. The Economics for Business online program from MIT Sloan offers you the opportunity to explore economics from a business perspective, guided by renowned economist Professor Roberto Rigobon. You’ll be exposed to an engaging mix of case studies, narratives, and problem-solving activities designed to build your understanding of macroeconomics. On completion, you’ll be able to apply your knowledge to interpret and manage economic change within your organization.</p></p>, <p><strong>Duration</strong>: 8 weeks (excluding orientation)<br/></p>, <p>Large-scale economic trends can profoundly affect businesses of all sizes, whether it’s inflation, governmental policy, or changes in market demand. For contemporary organizations to remain competitive, executives must account for the impact in their strategic decision making. The Economics for Business online program from MIT Sloan offers you the opportunity to explore economics from a business perspective, guided by renowned economist Professor Roberto Rigobon. You’ll be exposed to an engaging mix of case studies, narratives, and problem-solving activities designed to build your understanding of macroeconomics. On completion, you’ll be able to apply your knowledge to interpret and manage economic change within your organization.</p>]",Online,Self Paced,"[<div class=""module-content""><p class=""heading font-h6-mobile"">Orientation module</p><p class=""font-p-default"">Welcome to your Online Campus</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 1</p><p class=""font-p-default"">The global economy</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 2</p><p class=""font-p-default"">Consumer confidence and policy effects</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 3</p><p class=""font-p-default"">Currencies, crises, and cryptos</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 4</p><p class=""font-p-default"">Measuring economic health: The current account</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 5</p><p class=""font-p-default"">Measuring economic health: The labor market</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 6</p><p class=""font-p-default"">Economic shocks</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 7</p><p class=""font-p-default"">Social and political factors</p></div>, <div class=""module-content""><p class=""heading font-h6-mobile"">Module 8</p><p class=""font-p-default"">Creating economic sustainability</p></div>]","['Tools and frameworks to navigate the economic forces affecting your business|', 'The ability to identify and evaluate macroeconomic variables, policies, and financial indicators, and account for these events in your decision making|', 'A critical intuition for macroeconomic trends developed through problem-based learning and led by world-renowned economist Professor Roberto Rigobon|', '', '']","The program is geared towards business professionals and leaders looking to understand the influence of economic trends on business, and who are seeking tools, concepts, and models to inform their decision making| Aspiring managers and executives with decision-making responsibilities stand to benefit from an understanding of the broader business environment| The cross-industry applications of macroeconomics is beneficial for business professionals aiming to enhance their knowledge of economic trends and advance within their career|",Roberto Rigobon,"Society of Sloan Fellows Professor of Management and Professor of Applied Economics, MIT Sloan",https://www.getsmarter.com/rails/active_storage/representations/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBLUT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1161bec472cd81b12c2d189ffdde9c2dbc31f6f2/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCam9MY21WemFYcGxTU0lNTVRFd2VERXhNQVk2QmtWVSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--e8e4d52386516ed9566f111cb5206b7b0185063d/mit_sloan_economics_for_business_course_convenor_roberto_rigobon.jpg,,,,,,8,weeks,6–8 ,2021-10-06T00:00:00,2021-09-28T00:00:00,English,Identify the economic forces shaping your business and make informed decisions that drive change.,"Mobile,Desktop,Tablet",Paid,USD,"2,800","You can pay your course fees before the course starts, or you may opt for a split payment plan on courses that are nine weeks and shorter. For courses 10 weeks and longer, there is a three-part payment plan available.",MIT Sloan School of Management,https://www.getsmarter.com/products/mit-sloan-economics-for-business-online-program
