page_url,title,description,delivery_method,instruction_type,what_will_learn,prerequisites,target_students,instructor|1|name,instructor_bio,review|1|reviewer_name,review|1|photo,review|1|review,review|2|reviewer_name,review|2|photo,review|2|review,review|3|reviewer_name,review|3|photo,review|3|review,review|4|reviewer_name,review|4|photo,review|4|review,languages,total_duration,total_duration_unit,content,short_description,accessibilities,live_class,job_assistance,capstone_project,average_salary
https://mindmajix.com/oracle-atg-training,Oracle ATG Training,"<div class=""Curriculum_description__1LwKr""><p>Mindmajix offers the best Oracle ATG training with certified trainers. It will enable you to gain in-depth knowledge on designing and developing the ATG web commerce site through real-time use cases. You will also gain a strong foundation on ATG application configurations, deployment, and administration through implementing hands-on projects, and this will enable you to become a certified Oracle ATG developer.</p></div>",Online,Instructor Paced,NaN,"Why should you take the ATG Training?There is a vast demand for ATG skilled and certified professionals all over the world. The average salary for an ATG developer is $107,627 per annum.
",NaN,NaN,NaN,Benjamin,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"Mindmajix is awesome responsive online training portal, it is  well designed and flexible online Education Portal. I did ATG course from Mindmajix and I am extremely happy for overall experience with Mindmajix. One of the best reasons to recommend Mindmajix is quick response to clarify each and every doubt.",NANDA KISHORE,http://cdn.mindmajix.com/reviewer/nanda-kishore-m-s-oracle-atg-review-18092021.jpg," 
Good experience with Mindmajix, one of the best sources to learn ATG online training, very detailed explanation each and every doubt clarified very well. Thanks for everything.",Darshan Bhat,http://cdn.mindmajix.com/reviewer/darshan-bhat-oracle-atg-review-18092021.jpg," 
I have taken ATG training from the Mindmajix. The instructor explains every ATG topics with real use cases and all queries were answered during my class. The support team is always active to help us any point of time to resolve the issues we had. Very good work by the team. I recommend the ATG course from Mindmajix.",NaN,NaN,NaN,English,30,Hours,"['Introduction to ATG', 'ATG site and server', 'Configuring ATG Servers and Databases']",Enroll now for Oracle ATG Training and Get Expertise in Oracle ATG Web Commerce,"Mobile,Desktop",TRUE,TRUE,TRUE,"₹5,704,620"
https://mindmajix.com/demandware-training,Demandware Training and Certification Course Online,"<div class=""Curriculum_description__1LwKr""><p>Mindmajix Demandware training strengthens your skills and proficiency in the Salesforce Commerce Cloud platform to build eCommerce solutions. You will master the core programming concepts, configuration tasks, script language, optimize site performance, troubleshoot, and more through hands-on training with real-time industry use cases, and this helps you to successfully clear the Demandware certification exam.</p></div>",Online,Instructor Paced,NaN,"Who should take the Demandware Training?The Demandware Training is designed for professionals like CRM experts, Digital Managers, and Anyone who want to upgrade their advanced technologies skills. Even freshers can take this course who want to begin their career in Salesforce Demandware.
","|jQuery library and JSON syntax|Java or JavaScript programming|Web development technologies like CSS, Ajax, Flash, and HTML|Working experience on Eclipse IDE|",NaN,NaN,Darshan Bhat ,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"I have taken Demandware training from the Mindmajix. The instructor explains every Demandware topics with real use cases and all queries were answered during my class. The support team is always active to help us any point of time to resolve the issues we had. Very good work by the team.
",Rama Bijivemula,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"I came to know about Mindmajix from one of my colleagues and, researched it in different places. After getting positive feedback all over, I decided to take Demandware Online Training from Mindmajix. The Course instructor was very knowledgeable, and all queries are answered at any time. I recommend the Demandware course from Mindmajix.
",Ganesh,https://cdn.mindmajix.com/mern/images/instructor-male.svg,Ganesh speaks about his learning experience with Mindmajix and how our Demandware training helped him to execute his project efficiently.,Kishore,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"Instructor is very good, I respect the way he teaches and really like the interest he comes with. Concepts are clear. Understanding is obtained, Nice to be part of Mindmajix.",English,10,Hours,"['Introduction of E-Commerce platforms and evaluation of e-commerce in the globe.', 'Introduction to Salesforce Commerce cloud and its architecture.', 'Setup of UX studio, Eclipse IDE and business manager. Catalogs and Cartridges.', 'ISML templates.', 'Javascript Controllers', '', '', '', '', '', '']",Leverage the growing demand for Certified Demandware  Professionals,"Mobile,Desktop",TRUE,TRUE,TRUE,"₹5,836,977"
https://mindmajix.com/oracle-endeca-commerce-training,Oracle Endeca Commerce Training,"<div class=""Curriculum_description__1LwKr""><p>Mindmajix Oracle Endeca Commerce Training: Learn how to deliver rich cross-channel experiences to the customers through multiple channels. Hands-on training on creating CAS manipulators, business user enablement, loading product catalog data, configure and enhance search, understanding of the technical architecture and how to load data into the MDEX engine., etc. You will also get an exposure to industry based Real-time projects in various verticals.</p></div>",Online,Instructor Paced,NaN,"Who should take the Oracle Endeca Commerce Training?




Oracle Endeca Commerce Training is designed for the following professionals:


System Integrators
Analysts
Developers
Professionals who want to enhance their skills with advanced technologies, and
Aspirants who want to build their career in this field


",NaN,NaN,NaN,Nanda Kishore,https://cdn.mindmajix.com/reviewer/nanda-kishore-oracle-endeca-commerce-review-28092021.jpg,"Good experience with Mindmajix, one of the best sources to learn Oracle Endeca Commerce online training, very detailed explanation each and every doubt clarified very well.",Babu,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"I was little aware of Oracle Endeca Commerce prior. But here I've learnt much more about Oracle Endeca Commerce as they demonstrated with good set of examples. Sessions were assigned as per our own requirement. Thanks for everything.
",Elena,https://cdn.mindmajix.com/mern/images/instructor-male.svg,I appreciate the level of details put into the course material.  The methodology and advice provided throughout the course content will add great value to my work.,NaN,NaN,NaN,English,30,Hours,"['Endeca Technical Basics', 'Project Basics', 'Data Design', 'Navigation Configuration', 'Search Configuration', 'Enhancing Search', 'Introduction to Experience Manager Apps', 'Using Assembler and Processing Assembler Results', 'ATG Endeca Integration', 'Practice Test & Interview Questions']",Leverage the growing demand for Oracle Endeca Commerce Professionals,"Mobile,Desktop",TRUE,TRUE,TRUE,"₹7,795,842"
